"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3830","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7667","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","11189","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","18292","0.0-3.0","1920x1080","11:7 27/5/2022","","","","","",""
"","","","","","survey-html-form","4","28073","0.0-4.0","1920x1080","","9778.100000023842","{""age"":""20"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","73953","0.0-5.0","1920x1080","","45878.90000009537","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","73954","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","83321","0.0-7.0","1920x1080","","9363.399999976158","85.19","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","88249","0.0-8.0","1920x1080","","4926.5","68.52","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","9","91649","0.0-9.0","1920x1080","","3399.0999999046326","62.43","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","10","95145","0.0-10.0","1920x1080","","3495.399999976158","82.67","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","99066","0.0-11.0","1920x1080","","3918.100000023842","36.51","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","12","102833","0.0-12.0","1920x1080","","3764.6999999284744","22.09","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","108698","0.0-13.0","1920x1080","","5863.400000095367","30","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","14","113945","0.0-14.0","1920x1080","","5246.899999976158","68.39","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","116946","0.0-15.0","1920x1080","","2999.399999976158","89.68","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","120841","0.0-16.0","1920x1080","","3894.5999999046326","45.11","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","123489","0.0-17.0","1920x1080","","2647.5","88.36","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","126665","0.0-18.0","1920x1080","","3175.3000000715256","11.11","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","129274","0.0-19.0","1920x1080","","2607.2000000476837","89.42","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","20","131610","0.0-20.0","1920x1080","","2335.2000000476837","96","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","134145","0.0-21.0","1920x1080","","2535.2000000476837","70.90","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","137055","0.0-22.0","1920x1080","","2908.7000000476837","19.71","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","140969","0.0-23.0","1920x1080","","3912.600000023842","93.25","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","147153","0.0-24.0","1920x1080","","6183.5","36.64","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","25","151266","0.0-25.0","1920x1080","","4112.199999928474","96","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","161169","0.0-26.0","1920x1080","","9902.399999976158","7","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","27","165289","0.0-27.0","1920x1080","","4119.299999952316","5.42","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","169137","0.0-28.0","1920x1080","","3847.100000023842","17.46","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","172250","0.0-29.0","1920x1080","","3111.9000000953674","26.85","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","175129","0.0-30.0","1920x1080","","2878.600000023842","29.10","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","31","186753","0.0-31.0","1920x1080","","11623","20.11","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","32","191114","0.0-32.0","1920x1080","","4359.600000023842","7.80","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","33","193825","0.0-33.0","1920x1080","","2710.600000023842","48.02","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","196026","0.0-34.0","1920x1080","","2199.5","39.15","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","35","200514","0.0-35.0","1920x1080","","4487.5","73","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","36","205202","0.0-36.0","1920x1080","","4686.199999928474","63","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","207962","0.0-37.0","1920x1080","","2759.6999999284744","55.82","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","211714","0.0-38.0","1920x1080","","3751.0999999046326","88.10","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","39","216442","0.0-39.0","1920x1080","","4726.799999952316","25","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","40","220674","0.0-40.0","1920x1080","","4231.200000047684","34","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","41","224642","0.0-41.0","1920x1080","","3967.2999999523163","0","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","227922","0.0-42.0","1920x1080","","3278.7000000476837","30.69","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","43","231146","0.0-43.0","1920x1080","","3223.5","33.47","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","233900","0.0-44.0","1920x1080","","2753.1999999284744","49.07","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","236970","0.0-45.0","1920x1080","","3068.6999999284744","83.20","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","46","244786","0.0-46.0","1920x1080","","7815.399999976158","18.78","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","248842","0.0-47.0","1920x1080","","4055","8.99","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","48","250906","0.0-48.0","1920x1080","","2063.2999999523163","19.97","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","49","253738","0.0-49.0","1920x1080","","2831","27.78","img/117/4.5/0.66667/bw/001.png","","","complex"
