"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3792","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7592","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","11145","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","37040","0.0-3.0","1920x1080","10:50 23/5/2022","","","","","",""
"","","","","","survey-html-form","4","48501","0.0-4.0","1920x1080","","11460.5","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","105426","0.0-5.0","1920x1080","","56926.80000001192","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","105426","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","120278","0.0-7.0","1920x1080","","14846.100000023842","32","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","147605","0.0-8.0","1920x1080","","27325.40000000596","60","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","152445","0.0-9.0","1920x1080","","4839.200000017881","95","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","156326","0.0-10.0","1920x1080","","3879.7000000178814","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","11","160165","0.0-11.0","1920x1080","","3838.7000000178814","99","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","164669","0.0-12.0","1920x1080","","4502.899999976158","78.84","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","170173","0.0-13.0","1920x1080","","5503.5","58","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","14","173237","0.0-14.0","1920x1080","","3063.0999999940395","41.14","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","15","177094","0.0-15.0","1920x1080","","3855.300000011921","66","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","16","180878","0.0-16.0","1920x1080","","3784","37","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","184164","0.0-17.0","1920x1080","","3285.7000000178814","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","187580","0.0-18.0","1920x1080","","3415.300000011921","101.85","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","192212","0.0-19.0","1920x1080","","4631.100000023842","52","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","20","195789","0.0-20.0","1920x1080","","3575.4000000059605","25","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","198780","0.0-21.0","1920x1080","","2990.800000011921","17","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","22","201678","0.0-22.0","1920x1080","","2896.7000000178814","73","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","204469","0.0-23.0","1920x1080","","2789.5999999940395","93","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","24","207597","0.0-24.0","1920x1080","","3127.300000011921","102.78","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","212653","0.0-25.0","1920x1080","","5055.299999982119","46","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","26","215325","0.0-26.0","1920x1080","","2671.399999976158","66","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","217580","0.0-27.0","1920x1080","","2255","62.17","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","28","219853","0.0-28.0","1920x1080","","2271.699999988079","81","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","224573","0.0-29.0","1920x1080","","4719.5","90","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","229805","0.0-30.0","1920x1080","","5231.200000017881","43","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","235173","0.0-31.0","1920x1080","","5367.100000023842","96","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","240733","0.0-32.0","1920x1080","","5559.0999999940395","70","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","33","245679","0.0-33.0","1920x1080","","4945.199999988079","19","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","34","249701","0.0-34.0","1920x1080","","4021.4000000059605","75","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","35","257062","0.0-35.0","1920x1080","","7359","1","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","36","260205","0.0-36.0","1920x1080","","3142","22.22","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","37","263269","0.0-37.0","1920x1080","","3063.100000023842","72","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","38","267949","0.0-38.0","1920x1080","","4679","58","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","272237","0.0-39.0","1920x1080","","4287.4000000059605","68","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","40","274925","0.0-40.0","1920x1080","","2687.300000011921","26","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","41","278630","0.0-41.0","1920x1080","","3703.7999999821186","43.52","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","281517","0.0-42.0","1920x1080","","2886.800000011921","66","img/117/4/0.66667/bw/001.png","","","complex"
