"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5991","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12261","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18216","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","139843","0.0-3.0","1920x1080","12:59 19/10/2022","","","","","",""
"","","","","","survey-html-form","4","150822","0.0-4.0","1920x1080","","10971.199999999255","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","205054","0.0-5.0","1920x1080","","54230.79999999888","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","205055","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","218646","0.0-7.0","1920x1080","","13590.300000000745","11","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","8","223830","0.0-8.0","1920x1080","","5182.5999999996275","59.52","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","227598","0.0-9.0","1920x1080","","3767.199999999255","40.74","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","10","237902","0.0-10.0","1920x1080","","10303","16.01","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","11","242526","0.0-11.0","1920x1080","","4623.5999999996275","25.26","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","246317","0.0-12.0","1920x1080","","3790.7999999988824","45.37","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","13","250358","0.0-13.0","1920x1080","","4039.5999999996275","57.41","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","14","255358","0.0-14.0","1920x1080","","4999.5","69.31","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","259110","0.0-15.0","1920x1080","","3751.4000000003725","68.52","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","267766","0.0-16.0","1920x1080","","8655.299999998882","1","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","17","274605","0.0-17.0","1920x1080","","6838.5999999996275","9","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","279037","0.0-18.0","1920x1080","","4431.0999999996275","3.17","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","19","282030","0.0-19.0","1920x1080","","2991.5999999996275","35.19","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","285837","0.0-20.0","1920x1080","","3806.7999999988824","16.01","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","288989","0.0-21.0","1920x1080","","3151.2999999988824","63.76","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","295565","0.0-22.0","1920x1080","","6575.5","30","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","298557","0.0-23.0","1920x1080","","2990.5","48.28","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","24","301013","0.0-24.0","1920x1080","","2455.5999999996275","69.71","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","25","304877","0.0-25.0","1920x1080","","3863","77.65","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","311541","0.0-26.0","1920x1080","","6662.800000000745","4.37","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","27","315197","0.0-27.0","1920x1080","","3655.7000000011176","42.99","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","28","319269","0.0-28.0","1920x1080","","4071","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","324381","0.0-29.0","1920x1080","","5111.5999999996275","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","30","327637","0.0-30.0","1920x1080","","3254.2000000011176","30.16","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","31","331413","0.0-31.0","1920x1080","","3775.800000000745","47.88","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","32","336429","0.0-32.0","1920x1080","","5015.0999999996275","39","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","33","342053","0.0-33.0","1920x1080","","5622.700000001118","90.34","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","346453","0.0-34.0","1920x1080","","4399.699999999255","35.71","img/117/4.5/1/bw/001.png","","","complex"
