"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","20978","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","41094","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","61580","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","257945","0.0-3.0","1920x1080","9:12 19/10/2022","","","","","",""
"","","","","","survey-html-form","4","267406","0.0-4.0","1920x1080","","9458.099999999977","{""age"":""18"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","327191","0.0-5.0","1920x1080","","59814.70000000001","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","327191","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","338630","0.0-7.0","1920x1080","","11436.299999999988","58","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","345662","0.0-8.0","1920x1080","","7030.299999999988","18.12","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","9","350590","0.0-9.0","1920x1080","","4927.099999999977","78.31","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","355454","0.0-10.0","1920x1080","","4862.799999999988","80","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","11","360542","0.0-11.0","1920x1080","","5087.299999999988","39.81","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","365678","0.0-12.0","1920x1080","","5135.099999999977","50.79","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","375902","0.0-13.0","1920x1080","","10222.800000000047","43.65","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","14","385097","0.0-14.0","1920x1080","","9263.5","10.05","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","390049","0.0-15.0","1920x1080","","4951.200000000012","35.58","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","16","397577","0.0-16.0","1920x1080","","7527.100000000035","41.27","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","17","403929","0.0-17.0","1920x1080","","6350.899999999965","85.05","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","18","411465","0.0-18.0","1920x1080","","7535.200000000012","36.64","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","19","425904","0.0-19.0","1920x1080","","14438.799999999988","94","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","431816","0.0-20.0","1920x1080","","5911.200000000012","47.88","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","21","436257","0.0-21.0","1920x1080","","4439.5","63.10","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","441552","0.0-22.0","1920x1080","","5294.899999999965","14.29","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","445555","0.0-23.0","1920x1080","","4071.5","45","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","455186","0.0-24.0","1920x1080","","9630","51.98","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","464851","0.0-25.0","1920x1080","","9663.700000000012","3","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","26","469307","0.0-26.0","1920x1080","","4455","55.42","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","475595","0.0-27.0","1920x1080","","6287.800000000047","86.90","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","484250","0.0-28.0","1920x1080","","8654.299999999988","20","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","29","487955","0.0-29.0","1920x1080","","3703.2000000000116","38.62","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","492043","0.0-30.0","1920x1080","","4087.0999999999767","2.51","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","499587","0.0-31.0","1920x1080","","7543","60.32","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","32","513913","0.0-32.0","1920x1080","","14398.900000000023","50","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","33","520088","0.0-33.0","1920x1080","","6175","41.01","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","34","528465","0.0-34.0","1920x1080","","8375.099999999919","48.68","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","536161","0.0-35.0","1920x1080","","7695.400000000023","14","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","36","552537","0.0-36.0","1920x1080","","16374.900000000023","31","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","37","557521","0.0-37.0","1920x1080","","4983.099999999977","62.96","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","561993","0.0-38.0","1920x1080","","4471.199999999953","75.79","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","39","567696","0.0-39.0","1920x1080","","5767.29999999993","7.54","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","40","575223","0.0-40.0","1920x1080","","7526.599999999977","68.78","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","41","585200","0.0-41.0","1920x1080","","9975.599999999977","74.34","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","590728","0.0-42.0","1920x1080","","5526.900000000023","26.98","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","594522","0.0-43.0","1920x1080","","3793.4000000000233","20.24","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","597672","0.0-44.0","1920x1080","","3146.8000000000466","67.86","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","45","608544","0.0-45.0","1920x1080","","10870.900000000023","95","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","611728","0.0-46.0","1920x1080","","3183.1999999999534","21.43","img/117/4.5/2/bw/001.png","","","complex"
