"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5948","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12126","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18313","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","43164","0.0-3.0","1920x1080","15:6 19/10/2022","","","","","",""
"","","","","","survey-html-form","4","57997","0.0-4.0","1920x1080","","14828.699999999255","{""age"":""21"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","146076","0.0-5.0","1920x1080","","88078.69999999925","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","146077","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","163316","0.0-7.0","1920x1080","","17238","50","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","8","171460","0.0-8.0","1920x1080","","8143.099999997765","33.60","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","177188","0.0-9.0","1920x1080","","5726.800000000745","82.41","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","201243","0.0-10.0","1920x1080","","24055.599999997765","42.72","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","11","206987","0.0-11.0","1920x1080","","5742.699999999255","99","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","214627","0.0-12.0","1920x1080","","7639.39999999851","89.42","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","220275","0.0-13.0","1920x1080","","5647.10000000149","100.26","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","224939","0.0-14.0","1920x1080","","4663","61.24","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","240739","0.0-15.0","1920x1080","","15799.199999999255","43.52","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","16","246484","0.0-16.0","1920x1080","","5743.699999999255","82","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","17","249963","0.0-17.0","1920x1080","","3478.900000002235","99","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","253003","0.0-18.0","1920x1080","","3039.099999997765","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","266259","0.0-19.0","1920x1080","","13255.300000000745","15","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","20","269699","0.0-20.0","1920x1080","","3439.300000000745","68","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","21","276220","0.0-21.0","1920x1080","","6519.699999999255","40.74","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","22","288499","0.0-22.0","1920x1080","","12279.199999999255","22","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","23","304547","0.0-23.0","1920x1080","","16054.39999999851","53","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","24","308835","0.0-24.0","1920x1080","","4287.400000002235","100","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","312660","0.0-25.0","1920x1080","","3823.5","26.85","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","329876","0.0-26.0","1920x1080","","17214.89999999851","50.40","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","335260","0.0-27.0","1920x1080","","5383.39999999851","87.17","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","338387","0.0-28.0","1920x1080","","3126.800000000745","100","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","342251","0.0-29.0","1920x1080","","3863.199999999255","90","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","345996","0.0-30.0","1920x1080","","3743.900000002235","2.38","img/238/5.5/1.5/bw/001.png","","","complex"
