"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","44780","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","85546","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","128947","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","329271","0.0-3.0","1920x1080","11:30 13/10/2022","","","","","",""
"","","","","","survey-html-form","4","337668","0.0-4.0","1920x1080","","8395.20000000298","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","419644","0.0-5.0","1920x1080","","81975.10000000149","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","419645","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","438676","0.0-7.0","1920x1080","","19028.29999999702","35.05","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","451164","0.0-8.0","1920x1080","","12486.70000000298","44.97","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","9","468844","0.0-9.0","1920x1080","","17678.69999999553","24.34","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","10","480650","0.0-10.0","1920x1080","","11807.10000000149","53.70","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","493778","0.0-11.0","1920x1080","","13126.70000000298","58.99","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","12","509330","0.0-12.0","1920x1080","","15551.90000000596","37.83","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","520571","0.0-13.0","1920x1080","","11239.5","28.84","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","529802","0.0-14.0","1920x1080","","9230.70000000298","54.63","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","538716","0.0-15.0","1920x1080","","8911.10000000149","67.33","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","552628","0.0-16.0","1920x1080","","13910.60000000149","63.89","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","567324","0.0-17.0","1920x1080","","14695","23","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","18","579124","0.0-18.0","1920x1080","","11798.89999999851","36.11","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","586956","0.0-19.0","1920x1080","","7831.5","30.82","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","596644","0.0-20.0","1920x1080","","9687.10000000149","53.57","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","604172","0.0-21.0","1920x1080","","7527.60000000149","60.98","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","612236","0.0-22.0","1920x1080","","8063.0999999940395","35.58","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","23","629476","0.0-23.0","1920x1080","","17239.19999999553","69.71","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","24","640084","0.0-24.0","1920x1080","","10607.39999999851","47.22","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","648476","0.0-25.0","1920x1080","","8390.79999999702","58.73","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","26","661721","0.0-26.0","1920x1080","","13247","64.81","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","27","666953","0.0-27.0","1920x1080","","5230.5","32.14","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","28","676345","0.0-28.0","1920x1080","","9391.89999999851","60.71","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","686186","0.0-29.0","1920x1080","","9839.79999999702","47.09","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","30","693657","0.0-30.0","1920x1080","","7469.89999999851","58.60","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","705241","0.0-31.0","1920x1080","","11583.10000000149","48.94","img/117/4.5/1.5/bw/001.png","","","complex"
